fecha;tipo_transporte;num_usuarios;tiempo_viaje_promedio_min;origen;destino
10/02/2019;Bicicleta;803;11;GreenLake Shores ; Ezmeral Valley
11/02/2019;Bicicleta;2955;50;GreenLake Shores ; Composable Cloud
12/02/2019;Coche Compartido;3015;40;Apollo Heights ; Aruba Central
13/02/2019;Taxi;1082;49;Nimble Peak ; Aruba Central
14/02/2019;Bicicleta;2984;17;ProLiant Village ; Apollo Heights
15/02/2019;Metro;1410;59;Nimble Peak ; ProLiant Village
16/02/2019;Metro;2857;19;ProLiant Village ; Alletra City
17/02/2019;Autobús;1032;26;Composable Cloud ; Nimble Peak
18/02/2019;Coche Compartido;3666;37;GreenLake Shores ; Simplivity Springs
19/02/2019;Taxi;2699;13;Aruba Central ; HPE Innovation Hub
20/02/2019;Tranvía;3258;42;Composable Cloud ; Ezmeral Valley
21/02/2019;Bicicleta;4688;39;Composable Cloud ; HPE Innovation Hub
22/02/2019;Autobús;2452;11;ProLiant Village ; Apollo Heights
23/02/2019;Coche Compartido;1575;18;GreenLake Shores ; Simplivity Springs
24/02/2019;Bicicleta;1947;35;Apollo Heights ; Aruba Central
25/02/2019;Tranvía;1786;47;Composable Cloud ; HPE Innovation Hub
26/02/2019;Metro;1457;17;HPE Innovation Hub ; Alletra City
27/02/2019;Metro;1893;25;Aruba Central ; Simplivity Springs
28/02/2019;Tranvía;2173;38;Alletra City ; GreenLake Shores
01/03/2019;Tranvía;3826;21;GreenLake Shores ; Nimble Peak
02/03/2019;Coche Compartido;2346;41;Nimble Peak ; ProLiant Village
03/03/2019;Tranvía;3303;55;ProLiant Village ; Apollo Heights
04/03/2019;Coche Compartido;5102;14;Apollo Heights ; HPE Innovation Hub
05/03/2019;Metro;3613;44;GreenLake Shores ; Aruba Central
06/03/2019;Bicicleta;1768;17;Alletra City ; Aruba Central
07/03/2019;Autobús;1072;17;Ezmeral Valley ; Composable Cloud
08/03/2019;Bicicleta;1361;19;Nimble Peak ; ProLiant Village
09/03/2019;Autobús;751;33;Aruba Central ; Composable Cloud
10/03/2019;Autobús;1609;43;Nimble Peak ; Simplivity Springs
11/03/2019;Metro;2923;19;Ezmeral Valley ; Nimble Peak
12/03/2019;Tranvía;3171;59;Nimble Peak ; ProLiant Village
13/03/2019;Bicicleta;931;21;Nimble Peak ; HPE Innovation Hub
14/03/2019;Autobús;2678;12;Aruba Central ; Alletra City
15/03/2019;Metro;1773;17;Apollo Heights ; Alletra City
16/03/2019;Bicicleta;1752;49;Alletra City ; Composable Cloud
17/03/2019;Autobús;807;38;Aruba Central ; HPE Innovation Hub
18/03/2019;Metro;1661;19;GreenLake Shores ; Ezmeral Valley
19/03/2019;Autobús;3257;20;Apollo Heights ; Ezmeral Valley
20/03/2019;Tranvía;3850;42;HPE Innovation Hub ; Ezmeral Valley
21/03/2019;Tranvía;3356;32;Composable Cloud ; HPE Innovation Hub
22/03/2019;Taxi;3540;28;Ezmeral Valley ; ProLiant Village
23/03/2019;Metro;1677;52;GreenLake Shores ; Alletra City
24/03/2019;Tranvía;877;52;Apollo Heights ; Aruba Central
25/03/2019;Autobús;2904;24;Composable Cloud ; Alletra City
26/03/2019;Coche Compartido;2579;55;Alletra City ; Ezmeral Valley
27/03/2019;Autobús;3417;29;Simplivity Springs ; Composable Cloud
28/03/2019;Metro;3729;22;GreenLake Shores ; Aruba Central
29/03/2019;Coche Compartido;3496;29;Simplivity Springs ; Apollo Heights
30/03/2019;Autobús;1427;12;Composable Cloud ; ProLiant Village
31/03/2019;Autobús;1485;28;Composable Cloud ; Nimble Peak
01/04/2019;Coche Compartido;575;20;Apollo Heights ; Nimble Peak
02/04/2019;Taxi;3388;11;ProLiant Village ; Nimble Peak
03/04/2019;Taxi;4094;52;Simplivity Springs ; ProLiant Village
04/04/2019;Autobús;2860;51;GreenLake Shores ; Alletra City
05/04/2019;Bicicleta;1843;55;Simplivity Springs ; GreenLake Shores
06/04/2019;Taxi;953;56;Apollo Heights ; GreenLake Shores
07/04/2019;Autobús;2633;32;Nimble Peak ; HPE Innovation Hub
08/04/2019;Taxi;1953;26;ProLiant Village ; Nimble Peak
09/04/2019;Autobús;1899;22;GreenLake Shores ; Ezmeral Valley
10/04/2019;Coche Compartido;1944;49;Ezmeral Valley ; Apollo Heights
11/04/2019;Autobús;3296;21;Composable Cloud ; HPE Innovation Hub
12/04/2019;Tranvía;2154;54;Composable Cloud ; Aruba Central
13/04/2019;Tranvía;2002;17;ProLiant Village ; Nimble Peak
14/04/2019;Bicicleta;1677;43;Ezmeral Valley ; Alletra City
15/04/2019;Bicicleta;2741;42;Composable Cloud ; Ezmeral Valley
16/04/2019;Taxi;3265;40;ProLiant Village ; Apollo Heights
17/04/2019;Bicicleta;2749;37;GreenLake Shores ; ProLiant Village
18/04/2019;Taxi;2256;48;Alletra City ; Ezmeral Valley
19/04/2019;Tranvía;3504;11;Nimble Peak ; Ezmeral Valley
20/04/2019;Bicicleta;2447;24;Alletra City ; Nimble Peak
21/04/2019;Autobús;1263;42;GreenLake Shores ; Alletra City
22/04/2019;Taxi;1261;27;Apollo Heights ; Alletra City
23/04/2019;Metro;930;11;Ezmeral Valley ; Composable Cloud
24/04/2019;Coche Compartido;5224;46;Alletra City ; Composable Cloud
25/04/2019;Tranvía;2513;27;Alletra City ; HPE Innovation Hub
26/04/2019;Metro;4693;12;Ezmeral Valley ; Nimble Peak
27/04/2019;Metro;3253;19;GreenLake Shores ; ProLiant Village
28/04/2019;Metro;1464;19;Apollo Heights ; HPE Innovation Hub
29/04/2019;Bicicleta;2218;48;Aruba Central ; HPE Innovation Hub
30/04/2019;Coche Compartido;2701;37;Ezmeral Valley ; Simplivity Springs
01/05/2019;Metro;2798;26;Aruba Central ; HPE Innovation Hub
02/05/2019;Taxi;3296;34;Nimble Peak ; Aruba Central
03/05/2019;Tranvía;2408;56;ProLiant Village ; Apollo Heights
04/05/2019;Metro;2039;34;Simplivity Springs ; Apollo Heights
05/05/2019;Tranvía;1888;33;Aruba Central ; Apollo Heights
06/05/2019;Bicicleta;2357;39;GreenLake Shores ; Composable Cloud
07/05/2019;Coche Compartido;4031;48;Apollo Heights ; Composable Cloud
08/05/2019;Taxi;717;53;Aruba Central ; Composable Cloud
09/05/2019;Bicicleta;1028;21;HPE Innovation Hub ; Aruba Central
10/05/2019;Bicicleta;3271;14;Nimble Peak ; Simplivity Springs
11/05/2019;Coche Compartido;1282;47;HPE Innovation Hub ; Nimble Peak
12/05/2019;Taxi;1041;44;GreenLake Shores ; Ezmeral Valley
13/05/2019;Bicicleta;1811;36;Aruba Central ; Simplivity Springs
14/05/2019;Autobús;1246;11;Simplivity Springs ; HPE Innovation Hub
15/05/2019;Bicicleta;2191;36;HPE Innovation Hub ; Nimble Peak
16/05/2019;Autobús;3420;45;HPE Innovation Hub ; Composable Cloud
17/05/2019;Metro;2465;59;Composable Cloud ; Ezmeral Valley
18/05/2019;Metro;1135;26;ProLiant Village ; Alletra City
19/05/2019;Tranvía;2344;24;Composable Cloud ; Nimble Peak
20/05/2019;Tranvía;2841;32;Apollo Heights ; ProLiant Village
21/05/2019;Metro;3706;28;Composable Cloud ; Aruba Central
22/05/2019;Bicicleta;2543;21;Apollo Heights ; GreenLake Shores
23/05/2019;Taxi;1871;45;Simplivity Springs ; Alletra City
24/05/2019;Taxi;1427;56;Apollo Heights ; Ezmeral Valley
25/05/2019;Coche Compartido;2432;59;Aruba Central ; Simplivity Springs
26/05/2019;Autobús;1807;56;Composable Cloud ; Ezmeral Valley
27/05/2019;Bicicleta;3172;27;Apollo Heights ; GreenLake Shores
28/05/2019;Taxi;2143;47;Composable Cloud ; GreenLake Shores
29/05/2019;Bicicleta;4658;46;Apollo Heights ; Ezmeral Valley
30/05/2019;Tranvía;1984;29;HPE Innovation Hub ; Alletra City
31/05/2019;Taxi;1223;36;Composable Cloud ; ProLiant Village
01/06/2019;Autobús;2363;47;Alletra City ; ProLiant Village
02/06/2019;Metro;517;58;GreenLake Shores ; Simplivity Springs
03/06/2019;Bicicleta;5055;57;Ezmeral Valley ; ProLiant Village
04/06/2019;Tranvía;2078;57;Nimble Peak ; Aruba Central
05/06/2019;Coche Compartido;1355;52;Aruba Central ; GreenLake Shores
06/06/2019;Bicicleta;4329;29;GreenLake Shores ; Alletra City
07/06/2019;Taxi;1583;23;Apollo Heights ; Ezmeral Valley
08/06/2019;Taxi;618;51;Simplivity Springs ; HPE Innovation Hub
09/06/2019;Coche Compartido;1141;14;Simplivity Springs ; Composable Cloud
10/06/2019;Autobús;2054;44;Alletra City ; Nimble Peak
11/06/2019;Taxi;3541;24;Ezmeral Valley ; HPE Innovation Hub
12/06/2019;Tranvía;1240;20;Nimble Peak ; Ezmeral Valley
13/06/2019;Taxi;2608;33;HPE Innovation Hub ; Apollo Heights
14/06/2019;Coche Compartido;3822;38;ProLiant Village ; Composable Cloud
15/06/2019;Autobús;742;19;GreenLake Shores ; Apollo Heights
16/06/2019;Autobús;1115;48;Nimble Peak ; ProLiant Village
17/06/2019;Autobús;1254;23;Alletra City ; Ezmeral Valley
18/06/2019;Tranvía;3032;39;GreenLake Shores ; Apollo Heights
19/06/2019;Metro;2339;40;Apollo Heights ; HPE Innovation Hub
20/06/2019;Coche Compartido;4003;19;GreenLake Shores ; ProLiant Village
21/06/2019;Autobús;942;46;Simplivity Springs ; Nimble Peak
22/06/2019;Bicicleta;1465;15;Nimble Peak ; Simplivity Springs
23/06/2019;Tranvía;784;29;HPE Innovation Hub ; GreenLake Shores
24/06/2019;Taxi;3485;60;Composable Cloud ; Apollo Heights
25/06/2019;Coche Compartido;1132;47;Apollo Heights ; Nimble Peak
26/06/2019;Bicicleta;1950;53;GreenLake Shores ; ProLiant Village
27/06/2019;Autobús;2626;13;GreenLake Shores ; ProLiant Village
28/06/2019;Tranvía;2283;37;Simplivity Springs ; Composable Cloud
29/06/2019;Taxi;1557;10;Simplivity Springs ; ProLiant Village
30/06/2019;Metro;1386;13;Nimble Peak ; ProLiant Village
01/07/2019;Coche Compartido;3383;11;Simplivity Springs ; Alletra City
02/07/2019;Tranvía;5388;49;Simplivity Springs ; Nimble Peak
03/07/2019;Coche Compartido;1136;52;ProLiant Village ; HPE Innovation Hub
04/07/2019;Bicicleta;2362;53;GreenLake Shores ; Apollo Heights
05/07/2019;Taxi;1572;59;Composable Cloud ; ProLiant Village
06/07/2019;Bicicleta;642;57;Ezmeral Valley ; Composable Cloud
07/07/2019;Metro;1668;13;GreenLake Shores ; HPE Innovation Hub
08/07/2019;Coche Compartido;2519;17;Nimble Peak ; Alletra City
09/07/2019;Bicicleta;1194;31;Ezmeral Valley ; ProLiant Village
10/07/2019;Tranvía;2566;26;Ezmeral Valley ; Apollo Heights
11/07/2019;Coche Compartido;3948;34;Apollo Heights ; GreenLake Shores
12/07/2019;Autobús;2434;35;Alletra City ; Simplivity Springs
13/07/2019;Metro;1524;46;GreenLake Shores ; Aruba Central
14/07/2019;Metro;1343;23;Simplivity Springs ; Apollo Heights
15/07/2019;Taxi;868;32;HPE Innovation Hub ; Nimble Peak
16/07/2019;Metro;2577;37;Simplivity Springs ; HPE Innovation Hub
17/07/2019;Tranvía;1463;16;Ezmeral Valley ; Alletra City
18/07/2019;Autobús;2086;48;HPE Innovation Hub ; ProLiant Village
19/07/2019;Coche Compartido;1682;46;ProLiant Village ; Nimble Peak
20/07/2019;Metro;1409;14;Alletra City ; HPE Innovation Hub
21/07/2019;Tranvía;1039;20;Nimble Peak ; Aruba Central
22/07/2019;Metro;924;44;ProLiant Village ; Ezmeral Valley
23/07/2019;Autobús;4519;41;Nimble Peak ; ProLiant Village
24/07/2019;Metro;791;51;Apollo Heights ; Composable Cloud
25/07/2019;Coche Compartido;1852;33;Simplivity Springs ; Ezmeral Valley
26/07/2019;Tranvía;4581;39;Alletra City ; Aruba Central
27/07/2019;Metro;2239;47;GreenLake Shores ; Apollo Heights
28/07/2019;Metro;1173;34;Nimble Peak ; GreenLake Shores
29/07/2019;Bicicleta;5408;28;Ezmeral Valley ; GreenLake Shores
30/07/2019;Bicicleta;2756;38;ProLiant Village ; HPE Innovation Hub
31/07/2019;Autobús;916;37;HPE Innovation Hub ; GreenLake Shores
01/08/2019;Metro;2671;37;Simplivity Springs ; Aruba Central
02/08/2019;Metro;2881;10;HPE Innovation Hub ; Composable Cloud
03/08/2019;Bicicleta;1570;23;Simplivity Springs ; Composable Cloud
04/08/2019;Bicicleta;510;11;ProLiant Village ; Aruba Central
05/08/2019;Coche Compartido;1778;22;Apollo Heights ; GreenLake Shores
06/08/2019;Coche Compartido;2534;51;Simplivity Springs ; GreenLake Shores
07/08/2019;Autobús;3570;53;ProLiant Village ; Alletra City
08/08/2019;Coche Compartido;1318;11;GreenLake Shores ; Ezmeral Valley
09/08/2019;Autobús;3884;40;ProLiant Village ; HPE Innovation Hub
10/08/2019;Metro;1373;45;Simplivity Springs ; Ezmeral Valley
11/08/2019;Coche Compartido;1868;33;ProLiant Village ; Simplivity Springs
12/08/2019;Autobús;4581;16;HPE Innovation Hub ; Simplivity Springs
13/08/2019;Tranvía;4077;37;Ezmeral Valley ; HPE Innovation Hub
14/08/2019;Tranvía;1291;43;Alletra City ; GreenLake Shores
15/08/2019;Tranvía;3929;11;Apollo Heights ; HPE Innovation Hub
16/08/2019;Bicicleta;1875;13;Nimble Peak ; Composable Cloud
17/08/2019;Taxi;873;30;Ezmeral Valley ; Simplivity Springs
18/08/2019;Autobús;682;21;GreenLake Shores ; HPE Innovation Hub
19/08/2019;Metro;3079;46;Alletra City ; GreenLake Shores
20/08/2019;Bicicleta;960;20;Aruba Central ; ProLiant Village
21/08/2019;Metro;3117;56;Apollo Heights ; Ezmeral Valley
22/08/2019;Bicicleta;1963;38;Aruba Central ; Ezmeral Valley
23/08/2019;Autobús;1855;38;Composable Cloud ; HPE Innovation Hub
24/08/2019;Bicicleta;870;27;Apollo Heights ; Aruba Central
25/08/2019;Taxi;2530;39;ProLiant Village ; Ezmeral Valley
26/08/2019;Tranvía;3514;34;ProLiant Village ; Aruba Central
27/08/2019;Coche Compartido;3827;52;Ezmeral Valley ; Aruba Central
28/08/2019;Bicicleta;4572;17;Nimble Peak ; Composable Cloud
29/08/2019;Taxi;1506;51;Simplivity Springs ; Apollo Heights
30/08/2019;Tranvía;2954;22;Simplivity Springs ; HPE Innovation Hub
31/08/2019;Taxi;2190;37;ProLiant Village ; Nimble Peak
01/09/2019;Tranvía;2983;20;Alletra City ; Simplivity Springs
02/09/2019;Coche Compartido;1136;26;GreenLake Shores ; Simplivity Springs
03/09/2019;Autobús;3354;42;Composable Cloud ; Apollo Heights
04/09/2019;Autobús;3723;40;Alletra City ; Simplivity Springs
05/09/2019;Tranvía;1394;46;Alletra City ; Aruba Central
06/09/2019;Tranvía;3173;33;Apollo Heights ; Simplivity Springs
07/09/2019;Metro;1149;13;Alletra City ; GreenLake Shores
08/09/2019;Taxi;2324;42;Ezmeral Valley ; Alletra City
09/09/2019;Coche Compartido;3877;29;ProLiant Village ; Apollo Heights
10/09/2019;Autobús;4365;21;Apollo Heights ; ProLiant Village
11/09/2019;Bicicleta;2739;59;HPE Innovation Hub ; Composable Cloud
12/09/2019;Taxi;4281;34;Ezmeral Valley ; HPE Innovation Hub
13/09/2019;Coche Compartido;1606;18;Ezmeral Valley ; Simplivity Springs
14/09/2019;Coche Compartido;741;48;Apollo Heights ; Ezmeral Valley
15/09/2019;Tranvía;510;11;Composable Cloud ; Simplivity Springs
16/09/2019;Autobús;1657;34;Alletra City ; Apollo Heights
17/09/2019;Tranvía;1771;40;Simplivity Springs ; GreenLake Shores
18/09/2019;Bicicleta;1527;25;Composable Cloud ; ProLiant Village
19/09/2019;Bicicleta;2200;13;GreenLake Shores ; Alletra City
20/09/2019;Autobús;889;24;GreenLake Shores ; Aruba Central
21/09/2019;Tranvía;2049;21;Simplivity Springs ; Ezmeral Valley
22/09/2019;Coche Compartido;644;57;Composable Cloud ; Nimble Peak
23/09/2019;Bicicleta;3571;41;Simplivity Springs ; ProLiant Village
24/09/2019;Bicicleta;1923;23;ProLiant Village ; Ezmeral Valley
25/09/2019;Bicicleta;1158;29;Ezmeral Valley ; Aruba Central
26/09/2019;Coche Compartido;5101;19;Aruba Central ; ProLiant Village
27/09/2019;Bicicleta;4814;12;Composable Cloud ; GreenLake Shores
28/09/2019;Metro;2062;48;GreenLake Shores ; Composable Cloud
29/09/2019;Bicicleta;371;38;Alletra City ; Nimble Peak
30/09/2019;Taxi;2790;26;Alletra City ; HPE Innovation Hub
01/10/2019;Taxi;2642;29;Composable Cloud ; Alletra City
02/10/2019;Coche Compartido;1863;22;ProLiant Village ; GreenLake Shores
03/10/2019;Autobús;4950;53;ProLiant Village ; HPE Innovation Hub
04/10/2019;Metro;3052;10;Composable Cloud ; Ezmeral Valley
05/10/2019;Coche Compartido;1335;23;Apollo Heights ; Composable Cloud
06/10/2019;Bicicleta;2043;36;Aruba Central ; GreenLake Shores
07/10/2019;Bicicleta;2375;54;Composable Cloud ; GreenLake Shores
08/10/2019;Autobús;1388;52;GreenLake Shores ; Nimble Peak
09/10/2019;Taxi;1684;49;HPE Innovation Hub ; ProLiant Village
10/10/2019;Taxi;3668;43;Aruba Central ; Simplivity Springs
11/10/2019;Autobús;1609;13;Alletra City ; GreenLake Shores
12/10/2019;Bicicleta;872;26;Ezmeral Valley ; GreenLake Shores
13/10/2019;Coche Compartido;424;49;HPE Innovation Hub ; Ezmeral Valley
14/10/2019;Tranvía;1493;48;ProLiant Village ; Aruba Central
15/10/2019;Autobús;1427;34;Apollo Heights ; Nimble Peak
16/10/2019;Taxi;3952;53;Apollo Heights ; Nimble Peak
17/10/2019;Bicicleta;2157;13;Simplivity Springs ; Aruba Central
18/10/2019;Taxi;4250;50;Aruba Central ; Apollo Heights
19/10/2019;Metro;722;22;Nimble Peak ; Alletra City
20/10/2019;Coche Compartido;1584;16;Nimble Peak ; Alletra City
21/10/2019;Taxi;2360;53;Aruba Central ; Simplivity Springs
22/10/2019;Tranvía;3813;41;GreenLake Shores ; HPE Innovation Hub
23/10/2019;Bicicleta;2772;41;Composable Cloud ; Ezmeral Valley
24/10/2019;Bicicleta;1607;33;HPE Innovation Hub ; Simplivity Springs
25/10/2019;Bicicleta;3403;12;Apollo Heights ; Aruba Central
26/10/2019;Bicicleta;2875;19;Alletra City ; Apollo Heights
27/10/2019;Taxi;2055;13;Aruba Central ; ProLiant Village
28/10/2019;Metro;1590;14;Ezmeral Valley ; Apollo Heights
29/10/2019;Autobús;3305;47;ProLiant Village ; GreenLake Shores
30/10/2019;Bicicleta;1188;46;GreenLake Shores ; HPE Innovation Hub
31/10/2019;Bicicleta;1914;43;Aruba Central ; GreenLake Shores
01/11/2019;Autobús;1931;51;Apollo Heights ; Ezmeral Valley
02/11/2019;Coche Compartido;1484;40;Aruba Central ; Composable Cloud
03/11/2019;Bicicleta;1726;40;Nimble Peak ; ProLiant Village
04/11/2019;Taxi;1874;19;HPE Innovation Hub ; Composable Cloud
05/11/2019;Metro;4306;26;Ezmeral Valley ; Apollo Heights
06/11/2019;Bicicleta;1338;14;Alletra City ; Nimble Peak
07/11/2019;Bicicleta;3888;50;Ezmeral Valley ; Simplivity Springs
08/11/2019;Metro;2097;44;Alletra City ; Apollo Heights
09/11/2019;Autobús;948;34;GreenLake Shores ; Aruba Central
10/11/2019;Bicicleta;3299;51;Simplivity Springs ; Alletra City
11/11/2019;Autobús;1147;15;ProLiant Village ; Nimble Peak
12/11/2019;Autobús;4846;45;Aruba Central ; ProLiant Village
13/11/2019;Metro;1386;23;Composable Cloud ; Alletra City
14/11/2019;Coche Compartido;1219;37;HPE Innovation Hub ; Alletra City
15/11/2019;Metro;2623;27;GreenLake Shores ; Aruba Central
16/11/2019;Coche Compartido;929;27;GreenLake Shores ; Nimble Peak
17/11/2019;Autobús;2204;47;Ezmeral Valley ; Nimble Peak
18/11/2019;Metro;1967;19;Alletra City ; Ezmeral Valley
19/11/2019;Bicicleta;4625;29;ProLiant Village ; GreenLake Shores
20/11/2019;Coche Compartido;4410;24;Simplivity Springs ; Aruba Central
21/11/2019;Metro;1759;60;GreenLake Shores ; Apollo Heights
22/11/2019;Bicicleta;4395;17;Simplivity Springs ; ProLiant Village
23/11/2019;Tranvía;2164;30;Composable Cloud ; Aruba Central
24/11/2019;Coche Compartido;586;21;Simplivity Springs ; HPE Innovation Hub
25/11/2019;Metro;2516;18;ProLiant Village ; Ezmeral Valley
26/11/2019;Tranvía;2497;19;HPE Innovation Hub ; Nimble Peak
27/11/2019;Metro;3000;33;Simplivity Springs ; Nimble Peak
28/11/2019;Bicicleta;1153;58;Aruba Central ; Ezmeral Valley
29/11/2019;Taxi;2361;26;Nimble Peak ; Apollo Heights
30/11/2019;Coche Compartido;1347;56;Simplivity Springs ; ProLiant Village
01/12/2019;Taxi;296;45;Composable Cloud ; Aruba Central
02/12/2019;Bicicleta;2145;31;Alletra City ; ProLiant Village
03/12/2019;Metro;3423;40;Aruba Central ; GreenLake Shores
04/12/2019;Autobús;1095;40;Alletra City ; ProLiant Village
05/12/2019;Taxi;4280;19;Simplivity Springs ; Alletra City
06/12/2019;Metro;1562;41;Aruba Central ; Nimble Peak
07/12/2019;Coche Compartido;803;30;GreenLake Shores ; Ezmeral Valley
08/12/2019;Autobús;804;14;Alletra City ; Composable Cloud
09/12/2019;Tranvía;2312;37;Aruba Central ; Simplivity Springs
10/12/2019;Bicicleta;2714;17;GreenLake Shores ; Apollo Heights
11/12/2019;Autobús;4451;40;GreenLake Shores ; HPE Innovation Hub
12/12/2019;Bicicleta;2487;19;HPE Innovation Hub ; ProLiant Village
13/12/2019;Autobús;3641;34;Apollo Heights ; Aruba Central
14/12/2019;Autobús;2322;29;Ezmeral Valley ; Aruba Central
15/12/2019;Tranvía;3083;25;Ezmeral Valley ; ProLiant Village
16/12/2019;Autobús;2895;56;Composable Cloud ; ProLiant Village
17/12/2019;Metro;3217;45;Simplivity Springs ; HPE Innovation Hub
18/12/2019;Metro;1741;24;Nimble Peak ; Simplivity Springs
19/12/2019;Taxi;5254;49;Composable Cloud ; Nimble Peak
20/12/2019;Metro;2242;40;Composable Cloud ; GreenLake Shores
21/12/2019;Bicicleta;1630;36;Composable Cloud ; HPE Innovation Hub
22/12/2019;Coche Compartido;887;13;Simplivity Springs ; Apollo Heights
23/12/2019;Tranvía;1662;48;GreenLake Shores ; Composable Cloud
24/12/2019;Bicicleta;1706;23;Apollo Heights ; Ezmeral Valley
25/12/2019;Autobús;2277;38;Alletra City ; Ezmeral Valley
26/12/2019;Coche Compartido;1304;37;Apollo Heights ; HPE Innovation Hub
27/12/2019;Tranvía;2134;43;Composable Cloud ; Nimble Peak
28/12/2019;Autobús;1046;53;Simplivity Springs ; HPE Innovation Hub
29/12/2019;Tranvía;1410;43;ProLiant Village ; Composable Cloud
30/12/2019;Taxi;2801;30;Nimble Peak ; Composable Cloud
31/12/2019;Tranvía;3198;24;Composable Cloud ; GreenLake Shores
01/01/2020;Autobús;2404;54;Nimble Peak ; ProLiant Village
02/01/2020;Autobús;1323;57;Simplivity Springs ; Nimble Peak
03/01/2020;Tranvía;1054;13;GreenLake Shores ; Composable Cloud
04/01/2020;Coche Compartido;1581;34;Nimble Peak ; HPE Innovation Hub
05/01/2020;Coche Compartido;2602;10;Simplivity Springs ; GreenLake Shores
06/01/2020;Taxi;1644;38;Ezmeral Valley ; GreenLake Shores
07/01/2020;Tranvía;2446;17;HPE Innovation Hub ; Apollo Heights
08/01/2020;Tranvía;4068;57;Aruba Central ; GreenLake Shores
09/01/2020;Metro;4111;31;Composable Cloud ; Simplivity Springs
10/01/2020;Autobús;887;48;Composable Cloud ; Nimble Peak
11/01/2020;Metro;2507;11;Aruba Central ; Alletra City
12/01/2020;Coche Compartido;574;17;GreenLake Shores ; Simplivity Springs
13/01/2020;Bicicleta;2315;21;Composable Cloud ; Nimble Peak
14/01/2020;Taxi;3440;19;HPE Innovation Hub ; Aruba Central
15/01/2020;Taxi;3157;24;Nimble Peak ; HPE Innovation Hub
16/01/2020;Coche Compartido;4174;28;Nimble Peak ; Simplivity Springs
17/01/2020;Metro;1451;46;ProLiant Village ; Simplivity Springs
18/01/2020;Metro;949;55;Alletra City ; Apollo Heights
19/01/2020;Metro;1748;26;GreenLake Shores ; Aruba Central
20/01/2020;Taxi;2991;40;Ezmeral Valley ; Nimble Peak
21/01/2020;Taxi;584;22;HPE Innovation Hub ; Simplivity Springs
22/01/2020;Bicicleta;1179;44;Simplivity Springs ; HPE Innovation Hub
23/01/2020;Taxi;2273;13;GreenLake Shores ; ProLiant Village
24/01/2020;Taxi;3186;25;Nimble Peak ; Apollo Heights
25/01/2020;Coche Compartido;676;59;Nimble Peak ; Simplivity Springs
26/01/2020;Taxi;2638;20;HPE Innovation Hub ; Aruba Central
